Batch,AddTime(ns),PollTime(ns)
911,14750,3917
912,14500,4042
913,17125,3916
914,14500,4000
915,14834,4000
916,17125,3917
917,14917,3916
918,15000,4000
919,17042,3958
920,14708,3916
921,14708,3916
922,17750,3917
923,14584,4000
924,14750,4000
925,15542,4042
926,14625,3958
927,15167,3834
928,17542,3917
929,15291,4000
930,37375,3917
931,14833,3958
932,16583,3958
933,16458,3958
934,14458,3916
935,17000,3958
936,14541,3917
937,14459,4000
938,17125,3959
939,14917,3709
940,14542,3958
941,16959,4000
942,14458,4000
943,14333,3791
944,17292,4000
945,15000,3916
946,15125,3958
947,17375,3625
948,17958,3958
949,14458,3916
950,17666,4000
951,15000,3917
952,14792,3917
953,17334,3959
954,15084,4167
955,15625,3958
956,17333,4000
957,14709,3958
958,14375,4084
959,16917,4083
960,16041,4000
961,14417,4000
962,17000,3916
963,17791,3958
964,14583,3958
965,16833,3959
966,14792,3916
967,14333,4000
968,16958,3875
969,14375,4000
970,14459,3959
971,16792,3958
972,14833,4000
973,14500,3958
974,17334,3917
975,14584,3959
976,14500,3916
977,17167,3917
978,14500,3875
979,14500,4042
980,14417,3958
981,16958,3916
982,15541,3875
983,14958,3917
984,16500,3917
985,15042,3916
986,14958,3917
987,17000,3917
988,16042,3916
989,14791,3917
990,17458,4000
991,14958,3917
992,14625,3958
993,17166,4042
994,15125,3709
995,14542,3916
996,17000,4000
997,14625,3917
998,15417,3791
999,19041,3958
