Batch,AddTime(ns),PollTime(ns)
588,95333,129583
589,95083,128541
590,101791,413917
591,131833,187416
592,125209,181875
593,125041,177417
594,122084,174000
595,157583,173250
596,125875,172458
597,126167,172500
598,124709,171292
599,156291,131458
600,119625,130000
601,91166,129959
602,120667,129875
603,95250,130292
604,94000,485250
605,127791,177084
606,125709,172708
607,170042,193125
608,125583,189250
609,128500,181291
610,126708,177209
611,143875,240833
612,129625,190292
613,126542,205667
614,127583,174084
615,124125,169708
616,126375,169708
617,127667,168208
618,125708,165083
619,126333,166166
620,127959,164625
621,129375,166625
622,127250,166083
623,124250,166500
624,129208,178334
625,102042,133750
626,118292,130584
627,95750,130417
628,96667,127208
629,93750,128041
630,94083,127833
631,143250,191250
632,127292,189625
633,126125,179292
634,125583,173833
635,126542,172958
636,123708,172333
637,127375,202000
638,131375,171250
639,126125,168125
640,125708,170334
641,143375,170209
642,129334,189625
643,123708,185625
644,125417,180709
645,128500,193792
646,120875,143833
647,101458,131792
648,434584,258708
649,209417,172875
650,1352500,204209
651,100458,131041
652,96209,130208
653,99459,143375
654,140041,192000
655,130583,306209
656,132833,168958
657,131292,129708
658,279042,558875
659,135584,189125
660,129333,224500
661,129667,179667
662,124167,274083
663,96584,130042
664,142667,177792
665,126167,176875
666,128917,174959
667,134958,177583
668,128500,176667
669,128000,193792
670,137000,190541
671,131250,188042
672,127792,186541
673,128542,180250
674,145541,272833
675,108584,259250
676,128041,186917
677,164125,134042
678,108792,130000
679,95541,129292
680,97708,129750
681,113958,137917
682,97417,427708
683,98583,188000
684,127417,175667
685,125333,173541
686,123833,274708
687,100542,222875
688,132875,184833
689,127667,180292
690,126750,174667
691,125708,173250
692,126209,171500
693,155000,170833
694,145292,186375
695,126709,170792
696,132000,170042
697,1673292,177041
698,127084,172958
699,126000,169875
700,123750,167959
701,126584,166917
702,126333,166833
703,125459,167125
704,124750,165458
705,128000,167334
706,127833,168500
707,124667,166416
708,127750,166125
709,127333,168916
710,125333,164625
711,124500,164959
712,125458,277917
713,490458,236959
714,201500,189459
715,361292,252125
716,267958,206083
717,175542,295375
718,160958,168834
719,131791,226959
720,126166,1253167
721,97875,131958
722,99125,131750
723,96666,131208
724,96333,212708
725,359417,137208
726,372208,685167
727,103667,208625
728,98542,179417
729,150458,131000
730,97167,132292
731,95917,130542
732,95958,193917
733,119250,512542
734,259666,132583
735,530500,144291
736,101000,179917
737,101125,282167
738,100625,396291
739,109292,1012209
740,99250,130167
741,111500,130959
742,92833,144750
743,182583,325459
744,165708,254667
745,230417,258208
746,108250,131458
747,97125,132792
748,96291,132833
749,93084,131375
750,255792,130917
751,96959,133083
752,94792,128792
753,94125,139917
754,144083,130208
755,94541,130500
756,106125,198625
757,306709,145625
758,102917,135667
759,644667,130625
760,95834,129000
761,94500,128541
762,94000,132375
763,90833,141583
764,105042,128125
765,94583,139917
766,108541,144833
767,97125,126250
768,95750,3004792
769,104583,129417
770,94125,129708
771,101917,197708
772,97459,130917
773,171125,129208
774,95417,129750
775,141000,132333
776,97250,130125
777,91291,141833
778,780500,146333
779,99167,134666
780,95000,130333
781,93625,129292
782,93750,129042
783,93416,128000
784,90000,127375
785,94416,127167
786,94292,344917
787,96333,158041
788,95083,127375
789,94167,161125
790,98875,131458
791,91750,129750
792,95792,128542
793,94125,128375
794,94208,128375
795,155417,130542
796,94125,129541
797,95458,128750
798,93041,127250
799,96333,341500
800,504834,148417
801,95542,128167
802,100333,128708
803,94083,133166
804,94042,127667
805,90667,127917
806,94041,127542
807,94125,127417
808,93667,128042
809,94250,127584
810,93792,127625
811,93917,1438916
812,126750,190375
813,129375,186583
814,136666,181958
815,124875,177709
816,126125,175209
817,125542,173375
818,125125,172708
819,121833,176500
820,122209,171167
821,125167,171083
822,123959,171167
823,124208,170792
824,124458,170625
825,123875,171750
826,140708,132459
827,103125,128375
828,96750,127917
829,95958,126791
830,95833,127083
831,95583,162542
832,98000,126959
833,93250,126875
834,96208,126250
835,95459,126250
