Batch,AddTime(ns),PollTime(ns)
694,6625,1292
695,6709,1333
696,4375,1291
697,7000,1292
698,6709,1292
699,6708,1292
700,6875,1291
701,7041,1459
702,7708,1334
703,4250,1292
704,6834,1333
705,6708,1291
706,6625,1334
707,6625,1333
708,8458,1333
709,6666,1375
710,4291,1334
711,6667,1333
712,6583,1292
713,6583,10542
714,7250,1292
715,6625,1292
716,6583,1292
717,4250,1292
718,6458,1334
719,6542,1334
720,6583,1292
721,6833,1334
722,6583,1417
723,6625,1292
724,4292,1292
725,6834,1333
726,6625,1292
727,6667,1292
728,6459,1333
729,6542,1291
730,6458,1291
731,4291,1334
732,6667,1292
733,6583,1291
734,6625,1333
735,6709,1292
736,7166,1334
737,6792,1292
738,4208,1417
739,6750,1291
740,6542,1291
741,6541,1334
742,6792,1292
743,6625,1333
744,7542,1375
745,4542,1292
746,7000,1500
747,6833,1458
748,6917,1292
749,6875,1292
750,6958,1417
751,6917,1333
752,4209,1334
753,6583,1333
754,6625,1292
755,6584,1292
756,6709,1292
757,6750,1292
758,6625,1291
759,4333,1291
760,6666,1292
761,6583,1292
762,6708,1292
763,6667,1333
764,6667,1333
765,6667,1291
766,4333,1291
767,6708,1291
768,7000,1375
769,6708,1333
770,6917,1333
771,6666,1292
772,6792,1333
773,4250,1292
774,6750,1291
775,6708,1291
776,7250,1292
777,6709,1333
778,6875,1292
779,7042,1292
780,4208,1375
781,6750,1292
782,6792,1292
783,8459,1292
784,6958,1292
785,6583,1292
786,6583,1334
787,4250,1291
788,6750,1333
789,6667,1333
790,6750,1292
791,6708,1292
792,6500,1291
793,6625,1333
794,4250,1333
795,6583,1291
796,6583,1291
797,6583,1333
798,6459,1292
799,6584,1292
800,6625,1333
801,4250,1292
802,6458,1292
803,6875,1333
804,6833,1291
805,6916,1333
806,6791,1292
807,6667,1292
808,4250,1333
809,6750,1333
810,6667,1333
811,7375,1333
812,7000,1291
813,6750,1333
814,6625,1292
815,4250,1291
816,6541,1334
817,6458,1292
818,6583,1292
819,7083,1333
820,6625,1292
821,6500,1333
822,4250,1375
823,6708,1333
824,6666,1292
825,6625,1292
826,6583,1292
827,6542,1292
828,6584,1292
829,4292,1292
830,6542,1291
831,6542,1291
832,6583,1291
833,6958,1333
834,6583,1291
835,6709,1292
836,4292,1333
837,6500,1292
838,6542,1292
839,6542,1250
840,6583,1291
841,6708,1250
842,6583,1292
843,4375,1292
844,6667,1292
845,6625,1292
846,6541,1292
847,6500,1291
848,6500,1292
849,6750,1291
850,4375,1375
851,7166,1292
852,6708,1292
853,6708,1292
854,6917,1292
855,6709,1292
856,6750,1333
857,4250,1292
858,8542,1291
859,6875,1334
860,6875,1291
861,6791,1334
862,6791,1334
863,6708,1292
864,4333,1292
865,6750,1208
866,6834,1292
867,6750,1334
868,6792,1292
869,6875,1292
870,6750,1291
871,4208,1333
872,6750,1292
873,6875,1334
874,6583,1292
875,6542,1292
876,6750,1250
877,6709,1292
878,4250,1292
879,6667,1334
880,6833,1334
881,6667,1292
882,6667,1291
883,6583,1291
884,6666,1292
885,4542,1292
886,6667,1333
887,6834,1292
888,6833,1334
889,6792,1292
890,6625,1292
891,7500,1291
892,7250,1292
893,4292,1291
894,6833,1291
895,7541,1292
896,7042,1292
897,6834,1292
898,6750,1375
899,5042,1291
900,5583,1291
901,6750,1333
902,6750,1334
903,6708,1292
904,6625,1291
905,7000,1291
906,4375,1333
907,6667,1291
908,6750,1292
909,6917,1292
910,6625,1334
911,6750,1333
912,6750,1291
913,4333,1292
914,6583,1375
915,6666,1292
916,6625,1291
917,6583,1333
918,6500,1292
919,6500,1292
920,4250,1291
921,6625,1292
922,6834,1333
923,6667,1333
924,6541,1334
925,6625,1291
926,7083,1291
927,5125,1292
928,5417,1333
929,6916,1375
930,6625,1334
931,6667,1292
932,8334,1292
933,6667,1291
934,4458,1250
935,6542,1333
936,6709,1292
937,6709,1292
938,6584,1292
939,6667,1333
940,6625,1333
941,4250,1334
942,6625,1333
943,6625,1334
944,6750,1291
945,6833,1333
946,6875,1292
947,6875,1333
948,4292,1333
949,6875,1292
950,6709,1292
951,6792,1292
952,6834,1333
953,6792,1291
954,6750,1291
955,4291,1334
956,6917,1292
957,6834,1292
958,6834,1292
959,6875,1292
960,7083,1292
961,6667,1292
962,4542,1291
963,6250,1292
964,6667,1291
965,6708,1291
966,6375,1333
967,6583,1291
968,6708,1291
969,6791,1292
970,4208,1334
971,27500,1292
972,6917,1292
973,6959,1375
974,6958,1333
975,6750,1334
976,6667,1333
977,4375,1334
978,6583,1291
979,6583,1333
980,6625,1292
981,6792,1292
982,6709,1333
983,6417,1333
984,4250,1292
985,6875,1292
986,6750,1291
987,6625,1292
988,6709,1333
989,6666,1292
990,4542,1292
991,6042,1333
992,6750,1333
993,6709,1292
994,6792,1333
995,6750,1333
996,6709,1292
997,4250,1292
998,6833,1333
999,6750,1333
